,date,building_1,building_10,building_11,building_12,building_13a,building_13b,building_13c,building_13d,building_13e,building_13f,building_15,building_16,building_17,building_18,building_19,building_2,building_20,building_21,building_22,building_23,building_24,building_25,building_26,building_27,building_28,building_29,building_30,building_31,building_32,building_33,building_35,building_36,building_37,building_38,building_3a,building_3b,building_3d,building_3e,building_4,building_40,building_41,building_42,building_43,building_44,building_45,building_46,building_47,building_48,building_5,building_50,building_53,building_54,building_56,building_59,building_6,building_61,building_62,building_63,building_64,building_67,building_68,building_69,building_7,building_70,building_72,building_73,building_74,building_75,building_76,building_77,building_8,building_80,building_81,building_82,building_84,building_85,building_86,building_87,building_88,building_89,building_9,building_90
701,20150215,,,,,,,,,,,,,,,,,,,,,503.3984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,20150216,,,,,,,,,,,,,,,,,,,,,629.31640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,20150217,,,,,,,,,,,,,,,,,,,,,593.5390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,20150218,,,,,,,,,,,,,,,,,,,,,691.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,20150219,,,,,,,,,,,,,,,,,,,,,571.6796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,20150220,,,,,,,,,,,,,,,,,,,,,763.90625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,20150221,,,,,,,,,,,,,,,,,,,,,422.21875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,20150222,,,,,,,,,,,,,,,,,,,,,466.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,20150223,,,,,,,,,,,,,,,,,,,,,1052.94921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,20150224,,,,,,,,,,,,,,,,,,,,,1142.34375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
